Name,Brand,Price,Popularity,Rating,Store,Concern 1,Concern 2,Concern 3
Lala Retro™ Whipped Refillable Moisturizer with Ceramides,Drunk Elephant,62.0,2100,3.9,Sephora,dullness,loss of firmness,fine lines
Plum Plump Refillable Hyaluronic Acid Moisturizer,Glow Recipe,39.0,1600,4.9,Sephora,uneven texture,dryness,redness
Benefiance Wrinkle Smoothing Day Cream SPF 23,Shiseido,75.0,210,4.0,Sephora,loss of firmness,fine lines,dullness
Protini™ Polypeptide Firming Refillable Moisturizer,Drunk Elephant,68.0,6800,4.0,Sephora,redness,dryness,uneven texture
The Dewy Skin Cream Plumping & Hydrating Moisturizer,Tatcha,85.0,3300,4.6,Sephora,loss of firmness,dryness,uneven texture
Natural Moisturizing Factors + HA,The Ordinary,13.5,2200,4.7,Sephora,dryness,loss of firmness,dark spots
Watermelon Pink Juice Oil-Free Moisturizer,Glow Recipe,39.0,2000,3.8,Sephora,redness,fine lines,uneven texture
Ultra Repair® Cream Intense Hydration,First Aid Beauty,48.0,9700,4.8,Sephora,redness,loss of firmness,dark spots
Honey Halo Ultra-Hydrating Ceramide Moisturizer,Farmacy,74.0,1600,2.6,Sephora,uneven texture,loss of firmness,dullness
Mini Lala Retro™ Whipped Moisturizer with Ceramides,Drunk Elephant,20.0,2100,3.4,Sephora,loss of firmness,dryness,redness
Ultra Facial Refillable Moisturizing Cream with Squalane,Kiehl's Since 1851,105.0,2500,2.5,Sephora,uneven texture,loss of firmness,redness
Barrier+ Triple Lipid-Peptide Refillable Face Cream,Skinfix,78.0,2700,3.1,Sephora,redness,dark spots,dullness
Omega Water Cream Moisturizer,The INKEY List,10.99,961,4.1,Sephora,fine lines,redness,dullness
Green Tea Hyaluronic Acid Hydrating Moisturizer,innisfree,29.0,726,4.8,Sephora,redness,fine lines,loss of firmness
Cloud Dew Gel Cream Moisturizer,Summer Fridays,45.0,831,3.5,Sephora,loss of firmness,fine lines,dark spots
The Water Cream Oil-Free Pore Minimizing Moisturizer,Tatcha,85.0,4200,3.4,Sephora,dark spots,loss of firmness,fine lines
Cooling Water,MILK MAKEUP,28.0,1300,4.4,Sephora,uneven texture,dryness,dullness
Rose & Hyaluronic Acid Deep Hydration Moisturizer,fresh,76.0,1900,3.3,Sephora,redness,dryness,uneven texture
The True Cream Aqua Bomb Hydrating Moisturizer With Squalane,belif,65.0,7300,3.3,Sephora,uneven texture,dryness,fine lines
Magic Cream Moisturizer with Hyaluronic Acid,Charlotte Tilbury,260.0,3800,2.5,Sephora,redness,uneven texture,dark spots
All Day Hyaluronic Acid Hydrator Moisturizer,SEPHORA COLLECTION,18.0,461,4.7,Sephora,fine lines,redness,loss of firmness
Mochi Mochi Luminous Plumping & Hydrating Moisturizer,DAMDAM,48.0,362,3.5,Sephora,dullness,fine lines,redness
barrier+ Skin Barrier Niacinamide Refillable Restoring Gel Cream,Skinfix,48.0,834,3.3,Sephora,uneven texture,dullness,dryness
"Vitamin B, C, and E Moisturizer",The INKEY List,7.99,302,2.5,Sephora,dryness,uneven texture,loss of firmness
Water Bank Blue Hyaluronic Cream Moisturizer,LANEIGE,40.0,747,3.8,Sephora,redness,loss of firmness,dryness
Dewy Glow Moisturizer with Cherry Blossom & Niacinamide,innisfree,26.0,321,2.7,Sephora,loss of firmness,dryness,redness
"Like Butter Moisturizer for Dry, Sensitive & Eczema-Prone Skin",Topicals,34.0,330,3.0,Sephora,dryness,dark spots,dullness
Hydra Vizor Refillable Invisible Face Moisturizer SPF 30 with Niacinamide,Fenty Skin,39.0,837,5.0,Sephora,redness,dark spots,loss of firmness
C5 Super Boost Vitamin C Moisturizer,Paula's Choice,45.0,302,3.9,Sephora,dryness,dark spots,uneven texture
Nourishing Moisturizer with Prebiotics,SEPHORA COLLECTION,18.0,513,3.3,Sephora,redness,uneven texture,loss of firmness
Natural Moisturizing Factors + PhytoCeramides - Moisture-Rich Surface Hydration,The Ordinary,22.5,329,2.9,Sephora,fine lines,uneven texture,loss of firmness
CLEAR Oil-Free Moisturizer,Paula's Choice,29.0,98,4.3,Sephora,dark spots,dullness,uneven texture
Superberry Hydrate + Glow Dream Night Mask with Vitamin C,Youth To The People,52.0,2400,2.7,Sephora,loss of firmness,uneven texture,dullness
Confidence in a Cream Anti-Aging Hydrating Moisturizer,IT Cosmetics,84.0,3200,2.9,Sephora,dullness,loss of firmness,redness
Cloud Cushion Plush Moisturizer with Ceramides + Peptides,EADEM,58.0,165,3.3,Sephora,dark spots,fine lines,uneven texture
Strength Trainer Peptide Boost Firming Moisturizer,OLEHENRIKSEN,51.0,915,2.7,Sephora,dark spots,loss of firmness,dullness
Ultra Repair Face Moisturizer,First Aid Beauty,28.0,1000,4.2,Sephora,redness,dullness,fine lines
Squalane + Omega Repair Deep Hydration Moisturizer,Biossance,78.0,2200,3.9,Sephora,uneven texture,dullness,dark spots
Ultra Repair Oil-Control Moisturizer,First Aid Beauty,36.0,300,4.0,Sephora,redness,dullness,dryness
The True Cream Moisturizing Bomb With Oak Husk and Vitamin B,belif,65.0,4500,4.4,Sephora,dullness,fine lines,redness
Daily Greens Oil-Free Gel Moisturizer with Moringa and Papaya,Farmacy,42.0,1400,3.8,Sephora,dark spots,dullness,loss of firmness
Cream Skin Refillable Toner & Moisturizer with Ceramides and Peptides,LANEIGE,36.0,258,4.8,Sephora,loss of firmness,redness,dark spots
C.E.O. Afterglow Brightening Vitamin C Moisturizer,Sunday Riley,65.0,684,4.1,Sephora,dryness,dullness,fine lines
After Baume Moisture Barrier Recovery Cream,Glossier,28.0,81,2.6,Sephora,dryness,dark spots,loss of firmness
Natural Moisturizing Factors + Beta Glucan,The Ordinary,13.5,374,2.7,Sephora,dark spots,fine lines,dryness
